nazev_zastavky;poslední_zastavka;zpozdeni;linka
Most,sídliště ČD;Most,Souš;-22.41666667;3
Most,Chomutovská;Most,TESCO;-11;3
Záluží,CHEMOPETROL;Záluží,Zdravotní středisko;-6.454995054;4
Záluží,CHEMOPETROL;Záluží,Zdravotní středisko;-6.012345679;1
Litvínov,stadion;Litvínov,u dílen;-5.070175439;4
Most,Čs.mládeže;Most,Dopravní podnik;-4;1
Kostelní hřbitov;Jezero Most;-3.741935484;16
Záluží,Zdravotní středisko;Záluží,CHEMOPETROL;-3.714285714;3
Havraň,Joseph II;Havraň,Joseph I;-3.636363636;31
Záluží,Zdravotní středisko;Záluží,CHEMOPETROL;-3.09375;1
Záluží,Důl Julius IV;Záluží,Zdravotní středisko;-2.833333333;3
Kahan;Vodárna;-2.526570048;5
H.Jiřetín,Triola;H.Jiřetín,rozcestí;-2.5;28
Litvínov,nádraží;Litvínov,Báňské stavby;-1.90625;4
Litvínov,Báňské stavby;Záluží,areál Hlubina;-1.5;40
Velebudická;Ovocné sady;-1.5;53
Čepirohy,zahrádkářská kolonie;Velebudice,rozcestí;-1.26;9
Litvínov,nádraží;Litvínov,obchodní dům;-1.259587021;4
Obchodní dům PRIOR;Okresní soud;-1.09375;31
Dům peněžnictví;Obchodní dům PRIOR;-1.04805915;30
Litvínov,nádraží;Litvínov,náměstí Míru;-1;8
Hamr,škola;Hamr,sídliště;-1;21
Pod Městským hřbitovem;Staré krematorium;-1;51
Komořany,Nejedlý II;Komořany,Nejedlý I;-0.866666667;12
Havraň,Joseph vodojem;Havraň,Joseph I;-0.8;31
Litvínov,stadion;Litvínov,Technické služby;-0.777777778;40
Černice;Černice,mlékárna;-0.761904762;28
Komořany,hradlo;Komořany;-0.75;12
Záluží,Zdravotní středisko;Záluží,CHEMOPETROL;-0.743718593;4
H.Jiřetín,rozcestí;H.Jiřetín,požární zbrojnice;-0.714285714;28
Litvínov,Citadela;Litvínov,Koldům;-0.704453441;13
Skršín,Dobrčice;Skršín,Chrámce;-0.666666667;10
Záluží,Důl Julius IV;Záluží,Zdravotní středisko;-0.666666667;40
14.ZŠ;Velebudická;-0.666666667;53
Litvínov,Koldům;Litvínov,Citadela;-0.666666667;60
Lom,rozcestí M.Radčice;Lom,náměstí;-0.563636364;13
Sedlec,obec;Sedlec,pivovar;-0.538461538;10
Čs.armády;Gymnázium;-0.538461538;20
Most,Chomutovská;Most,TESCO;-0.533333333;3
Gymnázium;Zahražany;-0.477272727;20
H.Jiřetín,požární zbrojnice;H.Jiřetín,rozcestí;-0.454545455;28
Litvínov,Krušnohor;Litvínov,požární stanice;-0.392307692;14
Korozluky,obecní úřad;Sedlec,obec;-0.388888889;10
Pod Lajsníkem;Krym;-0.388888889;12
Most,TESCO;Most,nádraží;-0.357142857;40
