case;cislo linky;konecna A;linka_smer_A;cislo linky B;konecna B;linka_smer_B;rozjezd;prijezd;odjezd;doba prestupu;stihnuto;o_kolik;cpu;smysluplnost
case16;13;Lom,rozcestí M.Radčice;(13, 205);14;H.Jiřetín,pekařství;(14, 244);20:03:00;2023-10-02 20:00:31.143954;02.10.2023 20:02;35;True;53.856046;Litvínov;0
case16;13;Lom,rozcestí M.Radčice;(13, 205);4;Most,Dopravní podnik;(4, 3);20:03:00;2023-10-02 20:00:31.143954;02.10.2023 20:00;10;False;-21.143954;Litvínov;1
case16;13;Lom,rozcestí M.Radčice;(13, 205);4;Litvínov,Citadela;(4, 26);20:03:00;2023-10-02 20:00:31.143954;02.10.2023 20:02;25;True;63.856046;Litvínov;1
case16;14;Litvínov,nádraží;(14, 201);13;Lom,rozcestí M.Radčice;(13, 205);20:03:00;02.10.2023 23:59;02.10.2023 20:03;35;False;;Litvínov;0
case16;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);20:03:00;02.10.2023 23:59;02.10.2023 20:03;0;False;;Litvínov;0
case16;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);20:03:00;02.10.2023 23:59;02.10.2023 20:00;25;False;;Litvínov;1
case16;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);20:03:00;02.10.2023 23:59;02.10.2023 20:02;15;False;;Litvínov;1
case16;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);20:03:00;02.10.2023 20:00;02.10.2023 20:02;0;True;120;Litvínov;0
case16;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);20:03:00;02.10.2023 20:00;02.10.2023 20:00;25;False;-5;Litvínov;1
case16;13;Janov,konečná;(13, 225);4;Litvínov,Citadela;(4, 26);20:03:00;02.10.2023 20:00;02.10.2023 20:02;15;True;105;Litvínov;1
case16;4;Most,Dopravní podnik;(4, 3);13;Lom,rozcestí M.Radčice;(13, 205);20:03:00;02.10.2023 20:00;02.10.2023 20:03;10;True;170;Litvínov;1
case16;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);20:03:00;02.10.2023 20:00;02.10.2023 20:02;25;True;95;Litvínov;1
case16;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);20:03:00;02.10.2023 20:00;02.10.2023 20:03;25;True;155;Litvínov;1
case16;4;Litvínov,Citadela;(4, 26);13;Lom,rozcestí M.Radčice;(13, 205);20:03:00;2023-10-02 20:00:24.526440;02.10.2023 20:03;25;True;130.47356;Litvínov;1
case16;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);20:03:00;2023-10-02 20:00:24.526440;02.10.2023 20:02;15;True;80.47356;Litvínov;1
case16;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);20:03:00;2023-10-02 20:00:24.526440;02.10.2023 20:03;15;True;140.47356;Litvínov;1
case16;13;Lom,rozcestí M.Radčice;(13, 205);14;H.Jiřetín,pekařství;(14, 244);20:03:00;2023-10-03 20:00:44.903558;03.10.2023 20:02;35;True;40.096442;Litvínov;0
case16;13;Lom,rozcestí M.Radčice;(13, 205);4;Most,Dopravní podnik;(4, 3);20:03:00;2023-10-03 20:00:44.903558;2023-10-03 20:01:33.994746;10;True;39.091188;Litvínov;1
case16;13;Lom,rozcestí M.Radčice;(13, 205);4;Litvínov,Citadela;(4, 26);20:03:00;2023-10-03 20:00:44.903558;2023-10-03 20:04:57.118311;25;True;227.214753;Litvínov;1
case16;14;Litvínov,nádraží;(14, 201);13;Lom,rozcestí M.Radčice;(13, 205);20:03:00;2023-10-03 19:58:39.675321;03.10.2023 20:03;35;True;225.324679;Litvínov;0
case16;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);20:03:00;2023-10-03 19:58:39.675321;03.10.2023 20:03;0;True;260.324679;Litvínov;0
case16;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);20:03:00;2023-10-03 19:58:39.675321;2023-10-03 20:01:33.994746;25;True;149.319425;Litvínov;1
case16;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);20:03:00;2023-10-03 19:58:39.675321;2023-10-03 20:04:57.118311;15;True;362.44299;Litvínov;1
case16;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);20:03:00;03.10.2023 20:00;03.10.2023 20:02;0;True;120;Litvínov;0
case16;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);20:03:00;03.10.2023 20:00;2023-10-03 20:01:33.994746;25;True;68.994746;Litvínov;1
case16;13;Janov,konečná;(13, 225);4;Litvínov,Citadela;(4, 26);20:03:00;03.10.2023 20:00;2023-10-03 20:04:57.118311;15;True;282.118311;Litvínov;1
case16;4;Most,Dopravní podnik;(4, 3);13;Lom,rozcestí M.Radčice;(13, 205);20:03:00;2023-10-03 20:01:13.994746;03.10.2023 20:03;10;True;96.005254;Litvínov;1
case16;4;Most,Dopravní podnik;(4, 3);14;H.Jiřetín,pekařství;(14, 244);20:03:00;2023-10-03 20:01:13.994746;03.10.2023 20:02;25;True;21.005254;Litvínov;1
case16;4;Most,Dopravní podnik;(4, 3);13;Janov,konečná;(13, 225);20:03:00;2023-10-03 20:01:13.994746;03.10.2023 20:03;25;True;81.005254;Litvínov;1
case16;4;Litvínov,Citadela;(4, 26);13;Lom,rozcestí M.Radčice;(13, 205);20:03:00;2023-10-03 20:04:37.118311;03.10.2023 20:03;25;False;-122.118311;Litvínov;1
case16;4;Litvínov,Citadela;(4, 26);14;H.Jiřetín,pekařství;(14, 244);20:03:00;2023-10-03 20:04:37.118311;03.10.2023 20:02;15;False;-172.118311;Litvínov;1
case16;4;Litvínov,Citadela;(4, 26);13;Janov,konečná;(13, 225);20:03:00;2023-10-03 20:04:37.118311;03.10.2023 20:03;15;False;-112.118311;Litvínov;1
case16;13;Lom,rozcestí M.Radčice;(13, 205);14;H.Jiřetín,pekařství;(14, 244);20:03:00;2023-10-04 20:00:20.004372;04.10.2023 20:02;35;True;64.995628;Litvínov;0
case16;13;Lom,rozcestí M.Radčice;(13, 205);4;Most,Dopravní podnik;(4, 3);20:03:00;2023-10-04 20:00:20.004372;2023-10-04 20:00:42.890319;10;True;12.885947;Litvínov;1
case16;13;Lom,rozcestí M.Radčice;(13, 205);4;Litvínov,Citadela;(4, 26);20:03:00;2023-10-04 20:00:20.004372;2023-10-04 20:02:32.518432;25;True;107.51406;Litvínov;1
case16;14;Litvínov,nádraží;(14, 201);13;Lom,rozcestí M.Radčice;(13, 205);20:03:00;2023-10-04 19:58:09.647725;04.10.2023 20:03;35;True;255.352275;Litvínov;0
case16;14;Litvínov,nádraží;(14, 201);13;Janov,konečná;(13, 225);20:03:00;2023-10-04 19:58:09.647725;04.10.2023 23:59;0;True;;Litvínov;0
case16;14;Litvínov,nádraží;(14, 201);4;Most,Dopravní podnik;(4, 3);20:03:00;2023-10-04 19:58:09.647725;2023-10-04 20:00:42.890319;25;True;128.242594;Litvínov;1
case16;14;Litvínov,nádraží;(14, 201);4;Litvínov,Citadela;(4, 26);20:03:00;2023-10-04 19:58:09.647725;2023-10-04 20:02:32.518432;15;True;247.870707;Litvínov;1
case16;13;Janov,konečná;(13, 225);14;H.Jiřetín,pekařství;(14, 244);20:03:00;04.10.2023 23:59;04.10.2023 20:02;0;False;;Litvínov;0
case16;13;Janov,konečná;(13, 225);4;Most,Dopravní podnik;(4, 3);20:03:00;04.10.2023 23:59;2023-10-04 20:00:42.890319;25;False;;Litvínov;1
