case;cislo linky;konecna A;linka_smer_A;cislo linky B;konecna B;linka_smer_B;rozjezd;prijezd;odjezd;doba prestupu;stihnuto;o_kolik;cpu;smysluplnost
case1;2;Most,Velebudická;(2, 1);4;Litvínov,Citadela;(4, 26);20:10:00;2023-10-02 20:08:23.879492;02.10.2023 20:10;58;True;38.120508;PRIOR;0
case1;2;Most,Velebudická;(2, 1);17;Dopravní podnik;(17, 111, 2);20:10:00;2023-10-02 20:08:23.879492;02.10.2023 20:10;26;True;70.120508;PRIOR;0
case1;2;Most,Velebudická;(2, 1);20;Čs.armády;(20, 109);20:10:00;2023-10-02 20:08:23.879492;02.10.2023 20:10;38;True;58.120508;PRIOR;1
case1;2;Most,Velebudická;(2, 1);22;Nádraží;(22, 135);20:10:00;2023-10-02 20:08:23.879492;02.10.2023 20:10;46;True;50.120508;PRIOR;1
case1;2;Most,Velebudická;(2, 1);30;Nádraží;(30, 135, 1);20:10:00;2023-10-02 20:08:23.879492;02.10.2023 20:10;59;True;37.120508;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);2;Most,Velebudická;(2, 1);20:10:00;02.10.2023 20:07;02.10.2023 20:10;58;True;122;PRIOR;0
case1;4;Litvínov,Citadela;(4, 26);17;Dopravní podnik;(17, 111, 2);20:10:00;02.10.2023 20:07;02.10.2023 20:10;53;True;127;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);20;Čs.armády;(20, 109);20:10:00;02.10.2023 20:07;02.10.2023 20:10;52;True;128;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);22;Nádraží;(22, 135);20:10:00;02.10.2023 20:07;02.10.2023 20:10;39;True;141;PRIOR;1
case1;4;Litvínov,Citadela;(4, 26);30;Nádraží;(30, 135, 1);20:10:00;02.10.2023 20:07;02.10.2023 20:10;27;True;153;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);2;Most,Velebudická;(2, 1);20:10:00;2023-10-02 20:08:59.933766;02.10.2023 20:10;26;True;34.066234;PRIOR;0
case1;17;Dopravní podnik;(17, 111, 2);4;Litvínov,Citadela;(4, 26);20:10:00;2023-10-02 20:08:59.933766;02.10.2023 20:10;53;True;7.066234;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);20;Čs.armády;(20, 109);20:10:00;2023-10-02 20:08:59.933766;02.10.2023 20:10;54;True;6.066234;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);22;Nádraží;(22, 135);20:10:00;2023-10-02 20:08:59.933766;02.10.2023 20:10;44;True;16.066234;PRIOR;1
case1;17;Dopravní podnik;(17, 111, 2);30;Nádraží;(30, 135, 1);20:10:00;2023-10-02 20:08:59.933766;02.10.2023 20:10;75;False;-14.933766;PRIOR;0
case1;20;Čs.armády;(20, 109);2;Most,Velebudická;(2, 1);20:10:00;2023-10-02 20:07:50.442067;02.10.2023 20:10;38;True;91.557933;PRIOR;1
